,cust_id,cust_gender,affinity_card,bookkeeping_application,bulk_pack_diskettes,education,flat_panel_monitor,home_theater_package,household_size,occupation,os_doc_set_kanji,printer_supplies,yrs_residence,y_box_games,age,cust_marital_status,cust_city,country_name,cust_income_level,cust_credit_limit,amount_sold
0,100001,F,0,1,0,< Bach.,0,1,2,Exec.,0,1,3,0,49,married,Haswell,United States of America,"K: 250,000 - 299,999",11000,1222
1,100002,F,0,1,1,Bach.,1,1,2,Prof.,0,1,4,0,57,married,Barry,United Kingdom,"K: 250,000 - 299,999",7000,1222
2,100003,M,0,1,1,< Bach.,1,0,2,Sales,0,1,6,0,58,single,Schwaebisch Gmuend,Germany,"K: 250,000 - 299,999",15000,1222
3,100004,F,0,1,1,< Bach.,1,1,2,Sales,0,1,5,0,31,,Warstein,Germany,"K: 250,000 - 299,999",11000,1222
4,100005,M,1,1,0,Assoc-A,0,1,3,Crafts,0,1,5,0,40,married,Belfast City,United Kingdom,"K: 250,000 - 299,999",7000,1222
5,100006,F,0,1,0,< Bach.,0,0,9+,Prof.,0,1,2,1,52,single,Cloverdale,United States of America,"K: 250,000 - 299,999",15000,1222
6,100007,F,0,1,1,HS-grad,1,1,2,Other,0,1,5,0,62,single,Arbuckle,United States of America,"K: 250,000 - 299,999",11000,1222
7,100008,M,0,1,1,< Bach.,1,1,2,Crafts,0,1,5,0,39,married,Oxford,United Kingdom,"K: 250,000 - 299,999",7000,1222
8,100009,M,1,1,0,Bach.,0,0,3,Prof.,0,1,3,1,42,single,Montara,United States of America,"K: 250,000 - 299,999",15000,1222
9,100010,M,0,1,1,HS-grad,1,0,3,Crafts,0,1,3,1,59,single,Weston-super-Mare,United Kingdom,"K: 250,000 - 299,999",15000,1210
10,100011,M,0,0,0,9th,0,0,2,Farming,0,1,3,0,62,single,Sanibel,United States of America,"K: 250,000 - 299,999",11000,1210
11,100012,M,1,1,1,PhD,0,1,3,Prof.,0,1,4,0,62,married,Wakefield,United Kingdom,"K: 250,000 - 299,999",7000,1210
12,100013,M,0,1,0,HS-grad,0,1,3,Transp.,0,1,5,0,38,single,Murnau,Germany,"K: 250,000 - 299,999",15000,1210
13,100014,F,0,1,0,HS-grad,0,1,2,Cleric.,0,1,5,0,65,married,Salthill,Canada,"K: 250,000 - 299,999",7000,1210
14,100015,M,0,1,1,< Bach.,1,1,2,Exec.,0,1,6,0,56,single,Karlsruhe,Germany,"K: 250,000 - 299,999",15000,1210
15,100016,F,0,1,1,HS-grad,1,0,9+,Exec.,0,1,4,0,60,single,El Sobrante,United States of America,"K: 250,000 - 299,999",11000,1210
16,100017,F,0,1,1,< Bach.,1,1,9+,Farming,0,1,5,0,53,married,Cardiff,United Kingdom,"K: 250,000 - 299,999",11000,1210
17,100018,F,0,1,0,< Bach.,0,0,4-5,Handler,1,1,3,1,47,married,Helmond,Italy,"K: 250,000 - 299,999",7000,1210
18,100019,M,1,1,0,Assoc-V,0,0,3,Transp.,0,1,4,0,58,single,Lisburn,United Kingdom,"K: 250,000 - 299,999",15000,1210
19,100020,F,0,1,1,Masters,1,1,9+,Other,0,1,6,0,61,single,Paterna,Spain,"K: 250,000 - 299,999",11000,1210
20,100021,M,0,1,1,HS-grad,1,1,3,Exec.,0,1,4,0,65,married,Dingle,Canada,"K: 250,000 - 299,999",7000,1210
21,100022,M,1,1,1,Assoc-V,1,1,3,Exec.,0,1,5,0,46,single,Arbuckle,United States of America,"K: 250,000 - 299,999",15000,1210
22,100023,M,0,1,1,HS-grad,1,1,3,Sales,0,1,8,0,55,married,Killarney,Canada,"K: 250,000 - 299,999",11000,1210
23,100024,M,0,1,0,HS-grad,0,1,3,Crafts,0,1,5,0,44,married,Barcelona,Spain,"K: 250,000 - 299,999",7000,1210
